"age","job","marital","education","balance","loan","contact","day","month","poutcome","y"
48,"admin.","divorced","secondary",4099,"no","cellular",2,"apr","unknown","yes"
53,"admin.","married","secondary",459,"no","cellular",5,"apr","unknown","yes"
47,"admin.","single","secondary",1544,"no","cellular",6,"apr","failure","no"
40,"admin.","single","secondary",462,"yes","cellular",6,"apr","other","no"
36,"admin.","divorced","secondary",356,"no","cellular",7,"apr","failure","no"
25,"admin.","single","tertiary",1420,"no","cellular",8,"apr","unknown","no"
59,"admin.","married","secondary",817,"no","cellular",9,"apr","unknown","no"
49,"admin.","married","secondary",197,"no","cellular",13,"apr","failure","yes"
41,"admin.","married","secondary",5110,"no","cellular",13,"apr","unknown","no"
34,"admin.","married","secondary",1499,"no","cellular",13,"apr","failure","no"
34,"admin.","single","secondary",852,"no","cellular",14,"apr","unknown","no"
37,"admin.","single","secondary",0,"no","cellular",16,"apr","unknown","no"
33,"admin.","divorced","secondary",818,"yes","cellular",16,"apr","unknown","no"
31,"admin.","single","secondary",68,"no","cellular",16,"apr","unknown","no"
55,"admin.","married","secondary",865,"no","cellular",17,"apr","failure","no"
50,"admin.","divorced","secondary",1111,"no","cellular",17,"apr","unknown","no"
43,"admin.","married","secondary",264,"no","cellular",17,"apr","unknown","no"
39,"admin.","married","secondary",260,"no","cellular",17,"apr","failure","no"
38,"admin.","married","secondary",424,"no","cellular",17,"apr","unknown","no"
35,"admin.","divorced","secondary",-402,"no","cellular",17,"apr","unknown","no"
34,"admin.","single","secondary",846,"no","cellular",17,"apr","unknown","no"
32,"admin.","married","secondary",923,"no","cellular",17,"apr","unknown","no"
31,"admin.","single","secondary",223,"no","cellular",17,"apr","success","no"
31,"admin.","married","secondary",314,"no","cellular",17,"apr","unknown","no"
29,"admin.","single","secondary",3432,"no","cellular",17,"apr","unknown","no"
53,"admin.","married","secondary",225,"no","cellular",20,"apr","failure","no"
46,"admin.","married","secondary",0,"yes","cellular",20,"apr","failure","no"
38,"admin.","married","primary",3913,"no","cellular",20,"apr","failure","no"
37,"admin.","single","tertiary",2317,"no","cellular",20,"apr","failure","no"
37,"admin.","single","secondary",-296,"no","cellular",20,"apr","unknown","no"
36,"admin.","single","secondary",0,"no","cellular",20,"apr","unknown","no"
35,"admin.","married","secondary",0,"no","cellular",20,"apr","unknown","no"
34,"admin.","single","secondary",663,"no","cellular",20,"apr","unknown","no"
33,"admin.","married","secondary",1158,"no","cellular",20,"apr","unknown","no"
27,"admin.","single","secondary",619,"no","cellular",20,"apr","other","no"
37,"admin.","married","secondary",749,"no","cellular",21,"apr","unknown","no"
52,"admin.","married","secondary",0,"no","cellular",22,"apr","failure","no"
39,"admin.","married","tertiary",722,"no","telephone",23,"apr","unknown","no"
41,"admin.","divorced","secondary",3823,"no","cellular",26,"apr","unknown","no"
37,"admin.","married","tertiary",3913,"no","cellular",27,"apr","unknown","yes"
59,"admin.","married","secondary",2381,"no","cellular",30,"apr","unknown","no"
53,"admin.","divorced","secondary",0,"yes","cellular",30,"apr","unknown","no"
35,"admin.","single","tertiary",62,"yes","cellular",30,"apr","unknown","no"
34,"admin.","single","tertiary",18,"yes","cellular",30,"apr","unknown","yes"
33,"admin.","married","secondary",95,"no","cellular",30,"apr","unknown","yes"
30,"admin.","single","tertiary",305,"no","cellular",30,"apr","success","yes"
26,"admin.","single","secondary",255,"no","cellular",30,"apr","success","yes"
53,"admin.","single","secondary",2398,"no","cellular",2,"aug","failure","yes"
50,"admin.","married","secondary",0,"no","cellular",4,"aug","unknown","no"
34,"admin.","married","tertiary",69,"yes","cellular",4,"aug","success","yes"
49,"admin.","married","secondary",381,"no","cellular",5,"aug","unknown","no"
38,"admin.","married","tertiary",1980,"no","cellular",5,"aug","unknown","no"
60,"admin.","married","secondary",1025,"no","cellular",6,"aug","unknown","no"
30,"admin.","single","secondary",81,"no","cellular",6,"aug","other","no"
57,"admin.","married","tertiary",46,"no","cellular",7,"aug","unknown","no"
46,"admin.","married","secondary",22,"no","cellular",7,"aug","unknown","no"
31,"admin.","married","secondary",88,"yes","cellular",8,"aug","unknown","no"
40,"admin.","single","secondary",100,"no","cellular",11,"aug","success","yes"
37,"admin.","married","tertiary",801,"no","cellular",11,"aug","unknown","no"
52,"admin.","married","secondary",2347,"yes","cellular",12,"aug","unknown","no"
57,"admin.","married","secondary",169,"no","cellular",14,"aug","failure","no"
47,"admin.","married","secondary",310,"yes","telephone",14,"aug","unknown","no"
39,"admin.","divorced","secondary",399,"yes","cellular",14,"aug","unknown","no"
56,"admin.","divorced","secondary",985,"yes","cellular",18,"aug","unknown","no"
48,"admin.","married","secondary",112,"no","cellular",18,"aug","unknown","no"
60,"admin.","married","secondary",3043,"no","cellular",19,"aug","unknown","no"
45,"admin.","married","secondary",0,"no","cellular",19,"aug","unknown","no"
43,"admin.","married","secondary",132,"no","cellular",19,"aug","success","yes"
22,"admin.","single","secondary",4111,"yes","cellular",19,"aug","unknown","no"
